country,year,electricity_and_heat_co2_emissions,electricity_and_heat_co2_emissions_per_capita,energy_co2_emissions,energy_co2_emissions_per_capita,total_co2_emissions_excluding_lucf,total_co2_emissions_excluding_lucf_per_capita
Oceania,1990,148.13,5.538769,285.28,10.666982,289.23,10.814677
Armenia,2002,0.92,0.29629248,2.91,0.937186,3.12,1.004818
Syria,2008,28.07,1.3071585,63.37,2.9510024,65.28,3.0399468
Mauritius,1994,0.6,0.5230285,1.51,1.3162885,1.51,1.3162885
Canada,2012,210.44,6.0659733,539.76,15.558686,546.29,15.746914
Chile,2016,37.16,2.0548687,85.38,4.721332,86.5,4.7832656
Palau,2015,0.07,3.9277298,0.2,11.222085,0.2,11.222085
Gabon,1995,0.33,0.29412788,5.15,4.5901775,5.21,4.6436553
United States,2001,2812.77,9.853103,5706.65,19.990332,5748.26,20.136091
Solomon Islands,1990,0.03,0.09254004,0.15,0.4627002,0.15,0.4627002
